Reaction,EC number,Gibbs-0,KEGG,Reaction-Direction
RXN-11711,EC-2.7.7,-103.30353,,LEFT-TO-RIGHT
RXN-11391,,-30.757725,,LEFT-TO-RIGHT
RXN-13712,EC-1.14.13.72,-276.484,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07509'>R07509</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-14957,EC-2.8.1.8,-2.9760284,,LEFT-TO-RIGHT
IMILACTDEHYDROG-RXN,EC-1.1.1.111,-6.729309,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04186'>R04186</a>,REVERSIBLE
RXN-11268,EC-2.1.1.165,-12.505905,,PHYSIOL-LEFT-TO-RIGHT
RXN-8101,EC-2.1.1.247,30.793365,,LEFT-TO-RIGHT
TRE6PHYDRO-RXN,EC-3.2.1.93,-3.1130066,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00837'>R00837</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-720,EC-1.14.13,-93.32054,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07471'>R07471</a>,PHYSIOL-LEFT-TO-RIGHT
2.4.1.135-RXN,EC-2.4.1.135,-63.75183,,LEFT-TO-RIGHT
RXN-14552,,-61.489624,,PHYSIOL-LEFT-TO-RIGHT
1.7.1.9-RXN,EC-1.7.1.9,-12.331787,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04229'>R04229</a>,
RXN-16441,EC-1.14.13,-200.91763,,
RXN-1025,EC-4.1.99.5,-6.050001,,LEFT-TO-RIGHT
RXN-14391,EC-3.6.4,,,LEFT-TO-RIGHT
RXN-12193,EC-2.4.1.25,-55.76886,,RIGHT-TO-LEFT
RXN-17062,,-19.934143,,LEFT-TO-RIGHT
RXN-14148,EC-1.1.1.369,-0.37820435,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R09951'>R09951</a>,REVERSIBLE
RXN1F-144,EC-2.5.1.99,-21.45996,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07916'>R07916</a>,
RXN-2861,EC-1.1.2.7,-5.843526,,LEFT-TO-RIGHT
2.1.1.63-RXN,EC-2.1.1.63,-8.789978,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04314'>R04314</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-17373,|EC-4.2.3.ec|,,,LEFT-TO-RIGHT
GERANYL-DIPHOSPHATE-CYCLASE-RXN,EC-5.5.1.8,-47.96,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02007'>R02007</a>,LEFT-TO-RIGHT
1.17.1.1-RXN,EC-1.17.1.1,-0.36242676,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03392'>R03392</a>,RIGHT-TO-LEFT
RXN-13418,EC-1.14.14.5,-163.64656,,PHYSIOL-LEFT-TO-RIGHT
2.5.1.51-RXN,EC-2.5.1.51,-3.5541153,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03134'>R03134</a>,LEFT-TO-RIGHT
RXN-8415,EC-4.2.3.104,-12.649994,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08373'>R08373</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-16124,EC-6.3.2,-69.23059,,LEFT-TO-RIGHT
RXN-8975,EC-2.7.8.13,0.0002441406,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05629'>R05629</a>,REVERSIBLE
RXN-16929,EC-1.1.1,-11.720398,,LEFT-TO-RIGHT
RXN-13878,EC-2.4.1,6.897644,,LEFT-TO-RIGHT
