ID,NAME,REACTION,EC,GPR,LOWER.BOUND,UPPER.BOUND,OBJECTIVE,COMPARTMENT,SUBSYSTEM
R00243,L-Glutamate:NAD+ oxidoreductase (deaminating),H2O[c] + NAD+[c] + L-Glutamate[c] <=> NADH[c] + NH3[c] + 2-Oxoglutarate[c] + H+[c],1.4.1.2         1.4.1.3,( 102585678 and 102599312 and 102589055 and 102586580 ),-1000,1000,NA,c,"Alanine, aspartate and glutamate metabolism"
R00248,L-Glutamate:NADP+ oxidoreductase (deaminating),H2O[c] + NADP+[c] + L-Glutamate[c] <=> NADPH[c] + NH3[c] + 2-Oxoglutarate[c] + H+[c],1.4.1.3         1.4.1.4,( 102585678 and 102599312 and 102589055 and 102586580 ) or ( 102590630 ) or ( 102580516 ),-1000,1000,NA,c,"Alanine, aspartate and glutamate metabolism"
R10178,4-aminobutanoate:pyruvate aminotransferase,4-Aminobutanoate[c] + Pyruvate[c] <=> Succinate semialdehyde[c] + L-Alanine[c],2.6.1.96,( 102599962 and 102596238 and 102595558 and 102597871 ),-1000,1000,NA,c,"Alanine, aspartate and glutamate metabolism"
R00578,L-aspartate:L-glutamine amido-ligase (AMP-forming),ATP[c] + L-Aspartate[c] + L-Glutamine[c] + H2O[c] => AMP[c] + Diphosphate[c] + L-Asparagine[c] + L-Glutamate[c],6.3.5.4,( 102585634 and 102577576 ),0,1000,NA,c,"Alanine, aspartate and glutamate metabolism"
R00355,L-Aspartate:2-oxoglutarate aminotransferase,2-Oxoglutarate[c] + L-Aspartate[c] <=> L-Glutamate[c] + Oxaloacetate[c],2.6.1.1,( 102605614 ) or ( 102579446 and 102589321 ) or ( 102591539 and 102605189 ),-1000,1000,NA,c,"Alanine, aspartate and glutamate metabolism"
R00707,(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase,2 H2O[c] + NAD+[c] + (S)-1-Pyrroline-5-carboxylate[c] <=> NADH[c] + L-Glutamate[c] + H+[c],1.5.1.12,( 102588923 ),-1000,1000,NA,c,"Alanine, aspartate and glutamate metabolism"
R00708,(S)-1-pyrroline-5-carboxylate:NADP+ oxidoreductase,2 H2O[c] + NADP+[c] + (S)-1-Pyrroline-5-carboxylate[c] => NADPH[c] + L-Glutamate[c] + H+[c],1.5.1.12,( 102588923 ),0,1000,NA,c,"Alanine, aspartate and glutamate metabolism"
R00258,L-Alanine:2-oxoglutarate aminotransferase,L-Alanine[c] + 2-Oxoglutarate[c] <=> Pyruvate[c] + L-Glutamate[c],2.6.1.2,( 102601418 and 102588758 ) or ( 102586190 and 102591453 ),-1000,1000,NA,c,"Alanine, aspartate and glutamate metabolism"
R07859,,"H2O[c] + Phosphatidylcholine[c] <=> 1-Acyl-sn-glycero-3-phosphocholine[c] + (9Z,12Z,15Z)-Octadecatrienoic acid[c]",3.1.1.4,( 102583349 ) or ( 102603740 and 102582532 ),-1000,1000,NA,c,alpha-Linolenic acid metabolism
R07860,,"H2O[c] + Phosphatidylcholine[c] <=> 2-Acyl-sn-glycero-3-phosphocholine[c] + (9Z,12Z,15Z)-Octadecatrienoic acid[c]",3.1.1.32,( 102587052 and 102596653 and 102595996 and 102596986 ),-1000,1000,NA,c,alpha-Linolenic acid metabolism
R07864,,"(9Z,12Z,15Z)-Octadecatrienoic acid[c] + Oxygen[c] <=> 9(S)-HPOT[c]",1.13.11.12,( 102597498 and 102596122 and 102596456 and 102583480 and 102594007 and 102586366 and 102588373 ),-1000,1000,NA,c,alpha-Linolenic acid metabolism
R00416,UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase,UTP[c] + N-Acetyl-alpha-D-glucosamine 1-phosphate[c] => Diphosphate[c] + UDP-N-acetyl-D-glucosamine[c],2.7.7.23,( 102596743 ),0,1000,NA,c,Amino sugar and nucleotide sugar metabolism
R01473,UDP-L-arabinose 4-epimerase,UDP-L-arabinose[c] <=> UDP-D-xylose[c],5.1.3.5,( 102597559 and 102603888 and 102581884 and 102582776 ),-1000,1000,NA,c,Amino sugar and nucleotide sugar metabolism
R01754,ATP:L-arabinose 1-phosphotransferase,ATP[c] + L-Arabinose[c] <=> ADP[c] + beta-L-Arabinose 1-phosphate[c],2.7.1.46,( 102592998 and 102582665 ),-1000,1000,NA,c,Amino sugar and nucleotide sugar metabolism
R01961,ATP:D-glucosamine 6-phosphotransferase,ATP[c] + D-Glucosamine[c] => ADP[c] + D-Glucosamine 6-phosphate[c],2.7.1.1         2.7.1.8,( 102577690 and 102580689 and 102577859 and 102584320 and 102604144 and 102605773 ),0,1000,NA,c,Amino sugar and nucleotide sugar metabolism
R08193,"N-Acetyl-D-glucosamine 1-phosphate 1,6-phosphomutase",N-Acetyl-D-glucosamine 6-phosphate[c] <=> N-Acetyl-alpha-D-glucosamine 1-phosphate[c],5.4.2.3,( 102600728 ),-1000,1000,NA,c,Amino sugar and nucleotide sugar metabolism
R00293,"UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming)",UDP-glucose[c] => UDP-4-dehydro-6-deoxy-D-glucose[c] + H2O[c],4.2.1.76,( 102578239 and 102579690 and 102589223 ),0,1000,NA,c,Amino sugar and nucleotide sugar metabolism
R03905,Glu-tRNA(Gln):L-glutamine amido-ligase(ADP-forming),ADP[c] + Orthophosphate[c] + L-Glutamate[c] + Glutaminyl-tRNA[c] <=> H2O[c] + ATP[c] + L-Glutamine[c] + L-Glutamyl-tRNA(Gln)[c],6.3.5.7,( 102595939 ) or ( 102579693 ) or ( 102589548 ),-1000,1000,NA,c,Aminoacyl-tRNA biosynthesis
R06534,UDP-glucose:anthocyanidin 3-O-D-glucosyltransferase,UDP-glucose[c] + Pelargonidin[c] <=> UDP[c] + Pelargonidin 3-O-glucoside[c],2.4.1.115,NA,-1000,1000,NA,c,Anthocyanin biosynthesis
R01317,Phosphatidylcholine 2-acylhydrolase,"H2O[c] + Phosphatidylcholine[c] <=> (5Z,8Z,11Z,14Z)-Icosatetraenoic acid[c] + 1-Acyl-sn-glycero-3-phosphocholine[c]",3.1.1.4,( 102583349 ) or ( 102603740 and 102582532 ),-1000,1000,NA,c,Arachidonic acid metabolism
R02265,"(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13- dienoate E-isomerase",Prostaglandin H2[c] <=> Prostaglandin E2[c],5.3.99.3,( 102605251 ) or ( 102603559 ),-1000,1000,NA,c,Arachidonic acid metabolism
R02268,"(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-thromboxane-A2-isomerase",Prostaglandin H2[c] <=> Thromboxane A2[c],5.3.99.5,NA,-1000,1000,NA,c,Arachidonic acid metabolism
R03057,"(7E,9E,11Z,14Z)-(5S,6S)-5,6-Epoxyicosa-7,9,11,14-tetraenoate hydrolase",H2O[c] + Leukotriene A4[c] <=> Leukotriene B4[c],3.3.2.6,( 102582016 ),-1000,1000,NA,c,Arachidonic acid metabolism
R03867,(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase,Amino acid[c] + Leukotriene C4[c] <=> 5-L-Glutamyl amino acid[c] + Leukotriene D4[c],2.3.2.2,NA,-1000,1000,NA,c,Arachidonic acid metabolism
R00005,urea-1-carboxylate amidohydrolase,H2O[c] + Urea-1-carboxylate[c] <=> 2 CO2[c] + 2 NH3[c],3.5.1.54,NA,-1000,1000,NA,c,Arginine and proline metabolism
